"ssn","name","surname","type"
"00000000008","Πέτρος","Αθανασίου","DOCTOR"
"00000000012","Παναγιώτα","Αθανασίου","DOCTOR"
"00000000020","Σπύρος","Αθανασίου","DOCTOR"
"00000000037","Νίκος","Αθανασίου","DOCTOR"
"00000000032","Τάσος","Αλεξίου","DOCTOR"
"00000000033","Νικολέτα","Αλεξίου","DOCTOR"
"00000000038","Γιάννης","Αλεξίου","DOCTOR"
"00000000068","Πέτρος","Αλεξίου","DOCTOR"
"00000000011","Κατερίνα","Αντωνίου","DOCTOR"
"00000000053","Ιωάννα","Αντωνίου","DOCTOR"
"00000000079","Χριστίνα","Αντωνίου","DOCTOR"
"00000000046","Γεωργία","Βασιλείου","DOCTOR"
"00000000047","Σοφία","Βασιλείου","DOCTOR"
"00000000062","Σταυρούλα","Βασιλείου","DOCTOR"
"00000000071","Κατερίνα","Βασιλείου","DOCTOR"
"00000000074","Ηλίας","Βασιλείου","DOCTOR"
"00000000078","Φωτεινή","Βασιλείου","DOCTOR"
"00000000027","Θεοδώρα","Βλάχος","DOCTOR"
"00000000043","Νίκος","Βλάχος","DOCTOR"
"00000000070","Μαρία","Βλάχος","DOCTOR"
"00000000072","Σπύρος","Βλάχος","DOCTOR"
"00000000077","Γεωργία","Βλάχος","DOCTOR"
"00000000002","Δήμητρα","Γεωργίου","DOCTOR"
"00000000029","Γιώργης","Γεωργίου","DOCTOR"
"00000000030","Αντώνης","Γεωργίου","DOCTOR"
"00000000045","Πέτρος","Γεωργίου","DOCTOR"
"00000000010","Ελένη","Δημητρίου","DOCTOR"
"00000000023","Νίκος","Δημητρίου","DOCTOR"
"00000000018","Ειρήνη","Ιωάννου","DOCTOR"
"00000000013","Χρήστος","Καλογερόπουλος","DOCTOR"
"00000000019","Μαρία","Καλογερόπουλος","DOCTOR"
"00000000052","Δημήτρης","Καλογερόπουλος","DOCTOR"
"00000000036","Μιχάλης","Καραγιάννης","DOCTOR"
"00000000048","Γιώργης","Καραγιάννης","DOCTOR"
"00000000001","Ηλίας","Κοντός","DOCTOR"
"00000000028","Κώστας","Κοντός","DOCTOR"
"00000000065","Θανάσης","Κοντός","DOCTOR"
"00000000025","Ευαγγελία","Κωνσταντίνου","DOCTOR"
"00000000039","Ελένη","Κωνσταντίνου","DOCTOR"
"00000000061","Γιάννης","Κωνσταντίνου","DOCTOR"
"00000000067","Μιχάλης","Κωνσταντίνου","DOCTOR"
"00000000016","Ηλίας","Λαζαρίδης","DOCTOR"
"00000000076","Ζωή","Λαζαρίδης","DOCTOR"
"00000000080","Τάσος","Λαζαρίδης","DOCTOR"
"00000000007","Στέφανος","Μακρής","DOCTOR"
"00000000059","Σπύρος","Μακρής","DOCTOR"
"00000000060","Δημήτρης","Μακρής","DOCTOR"
"00000000069","Θανάσης","Μαυρίδης","DOCTOR"
"00000000040","Θεοδώρα","Παπαγεωργίου","DOCTOR"
"00000000041","Βασίλης","Παπαγεωργίου","DOCTOR"
"00000000050","Στέφανος","Παπαγεωργίου","DOCTOR"
"00000000051","Κίμωνας","Παπαγεωργίου","DOCTOR"
"00000000064","Νικολέτα","Παπαγεωργίου","DOCTOR"
"00000000005","Κώστας","Παπαδάκης","DOCTOR"
"00000000042","Ελένη","Παπαδάκης","DOCTOR"
"00000000054","Αγγελική","Παπαδάκης","DOCTOR"
"00000000063","Θανάσης","Παπαδάκης","DOCTOR"
"00000000022","Αθηνά","Παπαδόπουλος","DOCTOR"
"00000000055","Ελένη","Παπαδόπουλος","DOCTOR"
"00000000075","Ευαγγελία","Παπαδόπουλος","DOCTOR"
"00000000015","Κατερίνα","Παπαντωνίου","DOCTOR"
"00000000021","Στέφανος","Παπαντωνίου","DOCTOR"
"00000000024","Κατερίνα","Παπαντωνίου","DOCTOR"
"00000000026","Κίμωνας","Παπαντωνίου","DOCTOR"
"00000000057","Κώστας","Σταματίου","DOCTOR"
"00000000073","Παναγιώτα","Σταματίου","DOCTOR"
"00000000006","Δημήτρης","Σταύρου","DOCTOR"
"00000000009","Λευτέρης","Σταύρου","DOCTOR"
"00000000014","Ζωή","Σταύρου","DOCTOR"
"00000000034","Νίκος","Σταύρου","DOCTOR"
"00000000044","Χρήστος","Σταύρου","DOCTOR"
"00000000066","Φωτεινή","Σταύρου","DOCTOR"
"00000000004","Κατερίνα","Τσακίρης","DOCTOR"
"00000000031","Γεωργία","Τσακίρης","DOCTOR"
"00000000035","Βασίλης","Τσακίρης","DOCTOR"
"00000000056","Λευτέρης","Τσακίρης","DOCTOR"
"00000000058","Ζωή","Τσακίρης","DOCTOR"
"00000000003","Ιωάννα","Χριστοδούλου","DOCTOR"
"00000000017","Φωτεινή","Χριστοδούλου","DOCTOR"
"00000000049","Σωτήρης","Χριστοδούλου","DOCTOR"
"00000000221","Δήμητρα","Αθανασίου","NURSE"
"00000000243","Δημήτρης","Αθανασίου","NURSE"
"00000000213","Αλέξανδρος","Αλεξίου","NURSE"
"00000000300","Παναγιώτα","Αλεξίου","NURSE"
"00000000218","Ελένη","Αντωνίου","NURSE"
"00000000258","Αλέξανδρος","Αντωνίου","NURSE"
"00000000283","Γιώργης","Αντωνίου","NURSE"
"00000000214","Ειρήνη","Βασιλείου","NURSE"
"00000000215","Βασιλική","Βασιλείου","NURSE"
"00000000249","Δήμητρα","Βασιλείου","NURSE"
"00000000255","Δήμητρα","Βασιλείου","NURSE"
"00000000272","Νικολέτα","Βασιλείου","NURSE"
"00000000280","Θεοδώρα","Βασιλείου","NURSE"
"00000000282","Φωτεινή","Βασιλείου","NURSE"
"00000000229","Δήμητρα","Βλάχος","NURSE"
"00000000235","Χρήστος","Βλάχος","NURSE"
"00000000290","Κώστας","Βλάχος","NURSE"
"00000000232","Πέτρος","Γεωργίου","NURSE"
"00000000244","Σοφία","Γεωργίου","NURSE"
"00000000270","Κώστας","Γεωργίου","NURSE"
"00000000288","Νικολέτα","Γεωργίου","NURSE"
"00000000289","Φωτεινή","Γεωργίου","NURSE"
"00000000204","Γιάννης","Δημητρίου","NURSE"
"00000000211","Κώστας","Δημητρίου","NURSE"
"00000000250","Ιωάννα","Δημητρίου","NURSE"
"00000000252","Δημήτρης","Δημητρίου","NURSE"
"00000000291","Σοφία","Δημητρίου","NURSE"
"00000000207","Ηλίας","Ιωάννου","NURSE"
"00000000219","Αθηνά","Ιωάννου","NURSE"
"00000000233","Ηλίας","Ιωάννου","NURSE"
"00000000251","Σταυρούλα","Ιωάννου","NURSE"
"00000000256","Γεωργία","Ιωάννου","NURSE"
"00000000281","Σωτήρης","Ιωάννου","NURSE"
"00000000284","Ειρήνη","Ιωάννου","NURSE"
"00000000298","Λευτέρης","Ιωάννου","NURSE"
"00000000203","Πέτρος","Καλογερόπουλος","NURSE"
"00000000227","Αντώνης","Καλογερόπουλος","NURSE"
"00000000253","Ζωή","Καλογερόπουλος","NURSE"
"00000000202","Θεοδώρα","Καραγιάννης","NURSE"
"00000000225","Σοφία","Καραγιάννης","NURSE"
"00000000238","Κώστας","Καραγιάννης","NURSE"
"00000000262","Τάσος","Καραγιάννης","NURSE"
"00000000216","Αγγελική","Κοντός","NURSE"
"00000000226","Θεοδώρα","Κοντός","NURSE"
"00000000234","Νίκος","Κοντός","NURSE"
"00000000257","Νίκος","Κοντός","NURSE"
"00000000265","Κώστας","Κοντός","NURSE"
"00000000268","Ηλίας","Κοντός","NURSE"
"00000000269","Σταυρούλα","Κοντός","NURSE"
"00000000276","Βασιλική","Κοντός","NURSE"
"00000000278","Ειρήνη","Κωνσταντίνου","NURSE"
"00000000292","Κώστας","Κωνσταντίνου","NURSE"
"00000000210","Κατερίνα","Λαζαρίδης","NURSE"
"00000000223","Γεωργία","Λαζαρίδης","NURSE"
"00000000266","Παναγιώτα","Λαζαρίδης","NURSE"
"00000000296","Πέτρος","Λαζαρίδης","NURSE"
"00000000240","Ζωή","Μακρής","NURSE"
"00000000242","Πέτρος","Μακρής","NURSE"
"00000000245","Κίμωνας","Μακρής","NURSE"
"00000000248","Λευτέρης","Μακρής","NURSE"
"00000000274","Δημήτρης","Μακρής","NURSE"
"00000000273","Δήμητρα","Μαυρίδης","NURSE"
"00000000294","Αγγελική","Μαυρίδης","NURSE"
"00000000297","Λευτέρης","Μαυρίδης","NURSE"
"00000000259","Μιχάλης","Νικολάου","NURSE"
"00000000260","Γιώργης","Νικολάου","NURSE"
"00000000277","Κατερίνα","Νικολάου","NURSE"
"00000000279","Νίκος","Νικολάου","NURSE"
"00000000293","Ειρήνη","Νικολάου","NURSE"
"00000000239","Θεοδώρα","Παπαγεωργίου","NURSE"
"00000000246","Αθηνά","Παπαγεωργίου","NURSE"
"00000000287","Σταυρούλα","Παπαγεωργίου","NURSE"
"00000000208","Κώστας","Παπαδάκης","NURSE"
"00000000212","Ζωή","Παπαδάκης","NURSE"
"00000000217","Σταυρούλα","Παπαδάκης","NURSE"
"00000000228","Τάσος","Παπαδάκης","NURSE"
"00000000254","Αγγελική","Παπαδάκης","NURSE"
"00000000263","Πέτρος","Παπαδάκης","NURSE"
"00000000295","Θεοδώρα","Παπαδάκης","NURSE"
"00000000220","Ευαγγελία","Παπαδόπουλος","NURSE"
"00000000241","Αγγελική","Παπαδόπουλος","NURSE"
"00000000286","Ηλίας","Παπαδόπουλος","NURSE"
"00000000201","Κίμωνας","Παπαντωνίου","NURSE"
"00000000222","Σταυρούλα","Σπηλιώτης","NURSE"
"00000000230","Κώστας","Σπηλιώτης","NURSE"
"00000000205","Θεοδώρα","Σταματίου","NURSE"
"00000000206","Βασιλική","Σταματίου","NURSE"
"00000000209","Βασιλική","Σταματίου","NURSE"
"00000000267","Δήμητρα","Σταματίου","NURSE"
"00000000285","Ευαγγελία","Σταματίου","NURSE"
"00000000299","Χρήστος","Σταματίου","NURSE"
"00000000231","Ευαγγελία","Σταύρου","NURSE"
"00000000236","Πέτρος","Σταύρου","NURSE"
"00000000264","Τάσος","Σταύρου","NURSE"
"00000000247","Θανάσης","Τσακίρης","NURSE"
"00000000271","Σοφία","Τσακίρης","NURSE"
"00000000275","Ηλίας","Τσακίρης","NURSE"
"00000000224","Φωτεινή","Χριστοδούλου","NURSE"
"00000000237","Θεοδώρα","Χριστοδούλου","NURSE"
"00000000261","Γιάννης","Χριστοδούλου","NURSE"
"00000000423","Αθηνά","Αθανασίου","ADMINISTRATIVE"
"00000000448","Τάσος","Αθανασίου","ADMINISTRATIVE"
"00000000441","Φωτεινή","Αλεξίου","ADMINISTRATIVE"
"00000000443","Παναγιώτης","Αλεξίου","ADMINISTRATIVE"
"00000000405","Αθηνά","Αντωνίου","ADMINISTRATIVE"
"00000000439","Δημήτρης","Αντωνίου","ADMINISTRATIVE"
"00000000404","Ηλίας","Βλάχος","ADMINISTRATIVE"
"00000000413","Θανάσης","Βλάχος","ADMINISTRATIVE"
"00000000419","Κώστας","Βλάχος","ADMINISTRATIVE"
"00000000431","Νικολέτα","Βλάχος","ADMINISTRATIVE"
"00000000435","Τάσος","Βλάχος","ADMINISTRATIVE"
"00000000402","Αντώνης","Γεωργίου","ADMINISTRATIVE"
"00000000412","Ηλίας","Γεωργίου","ADMINISTRATIVE"
"00000000421","Στέφανος","Γεωργίου","ADMINISTRATIVE"
"00000000428","Ηλίας","Γεωργίου","ADMINISTRATIVE"
"00000000411","Σωτήρης","Ιωάννου","ADMINISTRATIVE"
"00000000414","Αντώνης","Ιωάννου","ADMINISTRATIVE"
"00000000415","Τάσος","Καραγιάννης","ADMINISTRATIVE"
