"ssn1","name1","surname1","ssn2","name2","surname2","total_days","year"
"00000000739","Σωτήρης","Παπαντωνίου","00000000772","Νικολέτα","Λαζαρίδης","210","2022"
"00000000639","Μιχάλης","Νικολάου","00000000771","Νίκος","Βλάχος","171","2023"
"00000000603","Ελένη","Παπαδάκης","00000000701","Σταυρούλα","Λαζαρίδης","153","2022"
"00000000629","Χριστίνα","Τσακίρης","00000000658","Σοφία","Σταματίου","126","2022"
"00000000657","Αλέξανδρος","Μακρής","00000000726","Ειρήνη","Τσακίρης","120","2022"
"00000000629","Χριστίνα","Τσακίρης","00000000726","Ειρήνη","Τσακίρης","108","2023"
"00000000653","Τάσος","Παπαγεωργίου","00000000695","Ελένη","Χριστοδούλου","100","2022"
"00000000667","Αλέξανδρος","Γεωργίου","00000000680","Γιώργης","Παπαδάκης","96","2024"
"00000000722","Δήμητρα","Αλεξίου","00000000798","Νικολέτα","Καραγιάννης","96","2022"
"00000000680","Γιώργης","Παπαδάκης","00000000748","Πέτρος","Γεωργίου","96","2024"
"00000000636","Ελένη","Γεωργίου","00000000711","Σοφία","Κοντός","92","2022"
"00000000704","Αναστασία","Χριστοδούλου","00000000758","Κίμωνας","Βλάχος","92","2022"
"00000000671","Μιχάλης","Παπαντωνίου","00000000763","Μιχάλης","Δημητρίου","90","2022"
"00000000613","Σπύρος","Κοντός","00000000647","Λευτέρης","Μακρής","90","2023"
"00000000671","Μιχάλης","Παπαντωνίου","00000000710","Ελένη","Αθανασίου","90","2022"
"00000000656","Ελένη","Καραγιάννης","00000000671","Μιχάλης","Παπαντωνίου","90","2022"
"00000000692","Μαρία","Αλεξίου","00000000702","Σοφία","Παπαντωνίου","88","2024"
"00000000665","Κίμωνας","Λαζαρίδης","00000000688","Αλέξανδρος","Κωνσταντίνου","88","2022"
"00000000766","Παναγιώτα","Μαυρίδης","00000000798","Νικολέτα","Καραγιάννης","86","2023"
"00000000670","Αγγελική","Βλάχος","00000000766","Παναγιώτα","Μαυρίδης","86","2023"
"00000000670","Αγγελική","Βλάχος","00000000798","Νικολέτα","Καραγιάννης","86","2023"
"00000000646","Πέτρος","Παπαδάκης","00000000652","Δήμητρα","Κωνσταντίνου","80","2023"
"00000000624","Χρήστος","Αντωνίου","00000000746","Χρήστος","Ιωάννου","78","2023"
"00000000616","Τάσος","Κοντός","00000000628","Κώστας","Αντωνίου","76","2022"
"00000000662","Βασίλης","Σπηλιώτης","00000000663","Νικολέτα","Παπαγεωργίου","74","2023"
"00000000662","Βασίλης","Σπηλιώτης","00000000701","Σταυρούλα","Λαζαρίδης","74","2023"
"00000000663","Νικολέτα","Παπαγεωργίου","00000000701","Σταυρούλα","Λαζαρίδης","74","2023"
"00000000657","Αλέξανδρος","Μακρής","00000000789","Τάσος","Γεωργίου","72","2023"
"00000000629","Χριστίνα","Τσακίρης","00000000643","Αναστασία","Σταύρου","72","2023"
"00000000740","Κώστας","Αντωνίου","00000000747","Αναστασία","Παπαδόπουλος","72","2023"
"00000000643","Αναστασία","Σταύρου","00000000726","Ειρήνη","Τσακίρης","72","2023"
"00000000648","Στέφανος","Παπαγεωργίου","00000000726","Ειρήνη","Τσακίρης","72","2023"
