"ssn","name","surname","specialty","total_procedures"
"00000000058","Ζωή","Τσακίρης","Παιδιατρική","3"
"00000000074","Ηλίας","Βασιλείου","Ορθοπεδική","3"
"00000000010","Ελένη","Δημητρίου","Παιδιατρική","3"
"00000000034","Νίκος","Σταύρου","Οφθαλμολογία","3"
"00000000063","Θανάσης","Παπαδάκης","Οφθαλμολογία","3"
"00000000071","Κατερίνα","Βασιλείου","Αιματολογία","3"
"00000000079","Χριστίνα","Αντωνίου","Μαιευτική","3"
"00000000015","Κατερίνα","Παπαντωνίου","Οφθαλμολογία","3"
"00000000039","Ελένη","Κωνσταντίνου","Ενδοκρινολογία","3"
"00000000052","Δημήτρης","Καλογερόπουλος","Ωτορινολαρυγγολογία","3"
"00000000049","Σωτήρης","Χριστοδούλου","Ορθοπεδική","3"
"00000000078","Φωτεινή","Βασιλείου","Οφθαλμολογία","3"
"00000000014","Ζωή","Σταύρου","Παθολογία","3"
"00000000030","Αντώνης","Γεωργίου","Μαιευτική","3"
"00000000035","Βασίλης","Τσακίρης","Παιδιατρική","3"
"00000000069","Θανάσης","Μαυρίδης","Χειρουργική","3"
"00000000066","Φωτεινή","Σταύρου","Ενδοκρινολογία","2"
"00000000018","Ειρήνη","Ιωάννου","Ορθοπεδική","2"
"00000000042","Ελένη","Παπαδάκης","Οφθαλμολογία","2"
"00000000047","Σοφία","Βασιλείου","Αιματολογία","2"
"00000000055","Ελένη","Παπαδόπουλος","Ενδοκρινολογία","2"
"00000000007","Στέφανος","Μακρής","Νευρολογία","2"
"00000000028","Κώστας","Κοντός","Μαιευτική","2"
"00000000036","Μιχάλης","Καραγιάννης","Ενδοκρινολογία","2"
"00000000073","Παναγιώτα","Σταματίου","Ουρολογία","2"
"00000000017","Φωτεινή","Χριστοδούλου","Καρδιολογία","2"
"00000000041","Βασίλης","Παπαγεωργίου","Παθολογία","2"
"00000000062","Σταυρούλα","Βασιλείου","Γαστρεντερολογία","2"
"00000000059","Σπύρος","Μακρής","Ουρολογία","2"
"00000000067","Μιχάλης","Κωνσταντίνου","Οφθαλμολογία","2"
"00000000075","Ευαγγελία","Παπαδόπουλος","Γαστρεντερολογία","2"
"00000000003","Ιωάννα","Χριστοδούλου","Ουρολογία","2"
"00000000011","Κατερίνα","Αντωνίου","Οφθαλμολογία","2"
"00000000048","Γιώργης","Καραγιάννης","Ενδοκρινολογία","2"
"00000000064","Νικολέτα","Παπαγεωργίου","Ενδοκρινολογία","2"
"00000000072","Σπύρος","Βλάχος","Πνευμονολογία","2"
"00000000080","Τάσος","Λαζαρίδης","Ορθοπεδική","2"
"00000000024","Κατερίνα","Παπαντωνίου","Νευρολογία","2"
"00000000053","Ιωάννα","Αντωνίου","Αιματολογία","2"
"00000000061","Γιάννης","Κωνσταντίνου","Οφθαλμολογία","2"
"00000000077","Γεωργία","Βλάχος","Μαιευτική","2"
"00000000013","Χρήστος","Καλογερόπουλος","Παθολογία","2"
"00000000068","Πέτρος","Αλεξίου","Παθολογία","1"
"00000000004","Κατερίνα","Τσακίρης","Καρδιολογία","1"
"00000000020","Σπύρος","Αθανασίου","Ενδοκρινολογία","1"
"00000000057","Κώστας","Σταματίου","Ωτορινολαρυγγολογία","1"
"00000000065","Θανάσης","Κοντός","Νεφρολογία","1"
"00000000009","Λευτέρης","Σταύρου","Παθολογία","1"
"00000000025","Ευαγγελία","Κωνσταντίνου","Μαιευτική","1"
"00000000054","Αγγελική","Παπαδάκης","Οφθαλμολογία","1"
"00000000070","Μαρία","Βλάχος","Ορθοπεδική","1"
"00000000038","Γιάννης","Αλεξίου","Ωτορινολαρυγγολογία","1"
"00000000051","Κίμωνας","Παπαγεωργίου","Οφθαλμολογία","1"
"00000000019","Μαρία","Καλογερόπουλος","Ενδοκρινολογία","1"
"00000000027","Θεοδώρα","Βλάχος","Χειρουργική","1"
"00000000043","Νίκος","Βλάχος","Μαιευτική","1"
"00000000008","Πέτρος","Αθανασίου","Νευρολογία","1"
"00000000040","Θεοδώρα","Παπαγεωργίου","Οφθαλμολογία","1"
"00000000045","Πέτρος","Γεωργίου","Γαστρεντερολογία","1"
"00000000037","Νίκος","Αθανασίου","Νεφρολογία","1"
"00000000050","Στέφανος","Παπαγεωργίου","Ενδοκρινολογία","0"
"00000000026","Κίμωνας","Παπαντωνίου","Γαστρεντερολογία","0"
"00000000023","Νίκος","Δημητρίου","Χειρουργική","0"
"00000000044","Χρήστος","Σταύρου","Πνευμονολογία","0"
"00000000060","Δημήτρης","Μακρής","Μαιευτική","0"
"00000000033","Νικολέτα","Αλεξίου","Νεφρολογία","0"
"00000000046","Γεωργία","Βασιλείου","Νευρολογία","0"
"00000000022","Αθηνά","Παπαδόπουλος","Αιματολογία","0"
"00000000016","Ηλίας","Λαζαρίδης","Γαστρεντερολογία","0"
"00000000032","Τάσος","Αλεξίου","Μαιευτική","0"
"00000000005","Κώστας","Παπαδάκης","Ουρολογία","0"
"00000000021","Στέφανος","Παπαντωνίου","Παιδιατρική","0"
"00000000029","Γιώργης","Γεωργίου","Ωτορινολαρυγγολογία","0"
